1,A& N Islands,2
2,Andhra Pradesh,-495
3,Arunachal Pradesh,58
4,Assam,404
5,Bihar,154
6,Chandigarh,3
7,Chhattisgarh,273
8,D & N Haveli,5
9,Daman & Diu,1
10,Delhi,-3
11,Goa,3
12,Gujarat,244
13,Haryana,66
14,Himachal Pradesh,79
15,Jammu & Kashmir,303
16,Jharkhand,-234
17,Karnataka,672
18,Kerala,-87
19,Lakshadweep,0
20,Madhya Pradesh,-21
21,Maharashtra,31
22,Manipur,13
23,Meghalaya,8
24,Mizoram,0
25,Nagaland,39
26,Odisha,23
27,Puducherry,-15
28,Punjab,-57
29,Rajasthan,367
30,Sikkim,0
31,Tamil Nadu,-12
32,Telangana,668
33,Tripura,21
34,Uttar Pradesh,-163
35,Uttarakhand,32
36,West Bengal,-264
