Category,State/UT,Points CHC ,Points PHC,Points SC,Points SC/district,Points PHC/district,Points CHC/district,Points IMR Rural,Points Urban-Rural,Points People/CHC,Points People/PHC,Points People/SC,,Total
Union Territory,Delhi,2,2,1,1,1,1,3,3,1,1,1,,1.545454545
Union Territory,Puducherry,2,2,1,1,1,1,4,3,2,4,1,,2
State,Jharkhand,4,1,1,4,2,3,2,2,2,1,2,,2.181818182
State,Meghalaya,3,3,2,2,1,1,1,3,3,3,2,,2.181818182
State,Sikkim,2,2,1,2,1,1,4,3,1,4,3,,2.181818182
Union Territory,D & N Haveli,2,3,2,3,2,1,3,2,1,4,3,,2.363636364
State,Punjab,3,1,2,3,2,3,3,3,2,2,2,,2.363636364
State,Bihar,3,4,1,4,5,2,2,3,1,1,1,,2.454545455
State,Madhya Pradesh,4,2,3,4,3,3,1,1,2,2,2,,2.454545455
State,Mizoram,2,2,2,2,1,1,2,1,4,5,5,,2.454545455
State,Manipur,2,3,2,2,1,1,5,4,2,3,3,,2.545454545
State,Uttar Pradesh,5,1,1,4,5,4,1,3,1,2,1,,2.545454545
Union Territory,A& N Islands,2,3,2,2,1,1,3,3,4,4,5,,2.727272727
State,Andhra Pradesh,3,1,1,5,5,4,2,2,2,2,3,,2.727272727
State,Arunachal Pradesh,3,4,1,1,1,2,3,2,5,5,3,,2.727272727
State,Assam,4,5,1,4,4,3,1,1,2,3,2,,2.727272727
State,Haryana,3,4,3,3,3,3,2,3,2,2,2,,2.727272727
Union Territory,Lakshadweep,2,2,1,1,1,1,4,3,5,5,5,,2.727272727
Union Territory,Daman & Diu,2,3,2,1,1,1,5,5,4,4,4,,2.909090909
State,Goa,2,3,2,3,2,1,5,5,2,3,4,,2.909090909
State,Nagaland,2,3,2,2,2,1,5,5,3,4,3,,2.909090909
State,Uttarakhand,3,3,3,3,2,2,3,5,2,3,3,,2.909090909
State,Maharashtra,1,3,3,5,5,4,3,3,2,2,2,,3
State,Tripura,3,3,3,3,2,1,4,5,2,3,4,,3
Union Territory,Chandigarh,2,3,2,1,1,1,4,5,5,5,5,,3.090909091
State,Gujarat,3,4,5,4,4,3,2,1,2,3,3,,3.090909091
State,Jammu & Kashmir,3,5,4,3,3,2,2,3,2,4,3,,3.090909091
State,West Bengal,5,1,2,5,5,5,3,3,2,1,2,,3.090909091
State,Chhattisgarh,3,4,5,4,3,3,2,3,2,3,3,,3.181818182
State,Odisha,4,3,4,4,5,4,1,2,3,3,2,,3.181818182
State,Himachal Pradesh,3,4,2,4,5,3,3,3,3,4,4,,3.454545455
State,Tamil Nadu,5,2,2,4,5,4,4,3,3,3,3,,3.454545455
State,Karnataka,1,5,5,5,5,3,3,3,2,4,3,,3.545454545
State,Kerala,4,1,1,5,5,5,5,4,3,3,3,,3.545454545
State,Telangana,4,5,5,5,5,4,2,3,2,2,3,,3.636363636
State,Rajasthan,5,5,5,5,5,5,1,1,3,3,3,,3.727272727
