Category,State/UT,Population 2011 Census - Rural,Population 2011 Census - Total,Population 2011 Census - Rural %,CHCs - 2016,Number of People per CHC,Points
Union Territory,A& N Islands,237093,380581,62.3,4,59273.25,4
State,Andhra Pradesh,34776389,49386799,70.4,193,180188.544,2
State,Arunachal Pradesh,1066358,1383727,77.1,63,16926.31746,5
State,Assam,26807034,31205576,85.9,151,177530.0265,2
State,Bihar,92341436,104099452,88.7,148,623928.6216,1
Union Territory,Chandigarh,28991,1055450,2.7,2,14495.5,5
State,Chhattisgarh,19607961,25545198,76.8,155,126502.9742,2
Union Territory,D & N Haveli,183114,343709,53.3,0,0,1
Union Territory,Daman & Diu,60396,243247,24.8,2,30198,4
Union Territory,Delhi,419042,16787941,2.5,0,0,1
State,Goa,551731,1458545,37.8,4,137932.75,2
State,Gujarat,34694609,60439692,57.4,322,107747.2329,2
State,Haryana,16509359,25351462,65.1,110,150085.0818,2
State,Himachal Pradesh,6176050,6864602,90,79,78177.8481,3
State,Jammu & Kashmir,9108060,12541302,72.6,84,108429.2857,2
State,Jharkhand,25055073,32988134,76,188,133271.6649,2
State,Karnataka,37469335,61095297,61.3,206,181889.9757,2
State,Kerala,17471135,33406061,52.3,225,77649.48889,3
Union Territory,Lakshadweep,14141,64473,21.9,3,4713.666667,5
State,Madhya Pradesh,52557404,72626809,72.4,334,157357.497,2
State,Maharashtra,61556074,112374333,54.8,360,170989.0944,2
State,Manipur,2021640,2855794,70.8,17,118920,2
State,Meghalaya,2371439,2966889,79.9,27,87831.07407,3
State,Mizoram,525435,1097206,47.9,9,58381.66667,4
State,Nagaland,1407536,1978502,71.1,21,67025.52381,3
State,Odisha,34970562,41974218,83.3,377,92760.11141,3
Union Territory,Puducherry,395200,1247953,31.7,3,131733.3333,2
State,Punjab,17344192,27743338,62.5,150,115627.9467,2
State,Rajasthan,51500352,68548437,75.1,571,90193.26095,3
State,Sikkim,456999,610577,74.8,2,228499.5,1
State,Tamil Nadu,37229590,72147030,51.6,385,96700.23377,3
State,Telangana,21585313,35193978,61.3,114,189344.8509,2
State,Tripura,2712464,3673917,73.8,20,135623.2,2
State,Uttar Pradesh,155317278,199812341,77.7,773,200927.9146,1
State,Uttarakhand,7036954,10086292,69.8,59,119270.4068,2
State,West Bengal,62183113,91276115,68.1,349,178175.1089,2
