Category,State/UT,Population 2001 Census - Rural,Population 2001 Census - Urban,Population 2001 Census - Total,Population 2001 Census - Rural %,Population 2011 Census - Rural,Population 2011 Census - Urban,Population 2011 Census - Total,Population 2011 Census - Rural %,,,State/UT,Sub Centre -2005,PHCs - 2005,CHCs - 2005,Sub Centre - 2016,PHCs - 2016,CHCs - 2016
Union Territory,A& N Islands,239954,116198,356152,67.4,237093,143488,380581,62.3,,,A& N Islands,107,20,4,123,22,4
State,Andhra Pradesh,55401067,20808940,76210007,72.7,34776389,14610410,49386799,70.4,,,Andhra Pradesh,12522,1570,164,7659,1075,193
State,Arunachal Pradesh,870087,227881,1097968,79.2,1066358,317369,1383727,77.1,,,Arunachal Pradesh,379,85,31,304,143,63
State,Assam,23216288,3439240,26655528,87.1,26807034,4398542,31205576,85.9,,,Assam,5109,610,100,4621,1014,151
State,Bihar,74316709,8681800,82998509,89.5,92341436,11758016,104099452,88.7,,,Bihar,10337,1648,101,9729,1802,148
Union Territory,Chandigarh,92120,808515,900635,10.2,28991,1026459,1055450,2.7,,,Chandigarh,13,0,1,17,3,2
State,Chhattisgarh,16648056,4185747,20833803,79.9,19607961,5937237,25545198,76.8,,,Chhattisgarh,3818,517,116,5186,790,155
Union Territory,D & N Haveli,170027,50463,220490,77.1,183114,160595,343709,53.3,,,Dadra & Nagar Haveli,38,6,1,56,11,0
Union Territory,Daman & Diu,100856,57348,158204,63.8,60396,182851,243247,24.8,,,Daman & Diu,21,3,1,26,4,2
Union Territory,Delhi,944727,12905780,13850507,6.8,419042,16368899,16787941,2.5,,,Delhi,41,8,0,26,5,0
State,Goa,677091,670577,1347668,50.2,551731,906814,1458545,37.8,,,Goa,172,19,5,212,22,4
State,Gujarat,31740767,18930250,50671017,62.6,34694609,25745083,60439692,57.4,,,Gujarat,7274,1070,272,8801,1314,322
State,Haryana,15029260,6115304,21144564,71.1,16509359,8842103,25351462,65.1,,,Haryana,2433,408,72,2576,474,110
State,Himachal Pradesh,5482319,595581,6077900,90.2,6176050,688552,6864602,90,,,Himachal Pradesh,2068,439,66,2071,518,79
State,Jammu & Kashmir,7627062,2516638,10143700,75.2,9108060,3433242,12541302,72.6,,,Jammu & Kashmir,1879,334,70,2805,637,84
State,Jharkhand,20952088,5993741,26945829,77.8,25055073,7933061,32988134,76,,,Jharkhand,4462,561,47,3953,327,188
State,Karnataka,34889033,17961529,52850562,66,37469335,23625962,61095297,61.3,,,Karnataka,8143,1681,254,9332,2353,206
State,Kerala,23574449,8266925,31841374,74,17471135,15934926,33406061,52.3,,,Kerala,5094,911,106,4575,824,225
Union Territory,Lakshadweep,33683,26967,60650,55.5,14141,50332,64473,21.9,,,Lakshadweep,14,4,3,14,4,3
State,Madhya Pradesh,44380878,15967145,60348023,73.5,52557404,20069405,72626809,72.4,,,Madhya Pradesh,8874,1192,229,9192,1171,334
State,Maharashtra,55777647,41100980,96878627,57.6,61556074,50818259,112374333,54.8,,,Maharashtra,10453,1780,382,10580,1811,360
State,Manipur,1590820,575968,2166788,73.4,2021640,834154,2855794,70.8,,,Manipur,420,72,16,421,85,17
State,Meghalaya,1864711,454111,2318822,80.4,2371439,595450,2966889,79.9,,,Meghalaya,401,101,24,431,109,27
State,Mizoram,447567,441006,888573,50.4,525435,571771,1097206,47.9,,,Mizoram,366,57,9,370,57,9
State,Nagaland,1647249,342787,1990036,82.8,1407536,570966,1978502,71.1,,,Nagaland,394,87,21,396,126,21
State,Odisha,31287422,5517238,36804660,85,34970562,7003656,41974218,83.3,,,Odisha,5927,1282,231,6688,1305,377
Union Territory,Puducherry,325726,648619,974345,33.4,395200,852753,1247953,31.7,,,Puducherry,76,39,4,54,24,3
State,Punjab,16096488,8262511,24358999,66.1,17344192,10399146,27743338,62.5,,,Punjab,2858,484,116,2951,427,150
State,Rajasthan,43292813,13214375,56507188,76.6,51500352,17048085,68548437,75.1,,,Rajasthan,10512,1713,326,14408,2080,571
State,Sikkim,480981,59870,540851,88.9,456999,153578,610577,74.8,,,Sikkim,147,24,4,147,24,2
State,Tamil Nadu,34921681,27483998,62405679,56,37229590,34917440,72147030,51.6,,,Tamil Nadu,8682,1380,35,8712,1368,385
State,Telangana,NA,NA,NA,NA,21585313,13608665,35193978,61.3,,,Telangana,NA,NA,NA,4863,668,114
State,Tripura,2653453,545750,3199203,82.9,2712464,961453,3673917,73.8,,,Tripura,539,73,10,1033,94,20
State,Uttar Pradesh,131658339,34539582,166197921,79.2,155317278,44495063,199812341,77.7,,,Uttar Pradesh,20521,3660,386,20521,3497,773
State,Uttarakhand,6310275,2179074,8489349,74.3,7036954,3049338,10086292,69.8,,,Uttarakhand,1576,225,44,1847,257,59
State,West Bengal,57748946,22427251,80176197,72,62183113,29093002,91276115,68.1,,,West Bengal,10356,1173,95,10369,909,349
