1,A & N Islands,4,4
2,Andhra Pradesh,164,193
3,Arunachal Pradesh,31,63
4,Assam,100,151
5,Bihar,101,148
6,Chandigarh,1,2
7,Chhattisgarh,116,155
8,D & N Haveli,1,0
9,Daman & Diu,1,2
10,Delhi,0,0
11,Goa,5,4
12,Gujarat,272,322
13,Haryana,72,110
14,Himachal Pradesh,66,79
15,Jammu & Kashmir,70,84
16,Jharkhand,47,188
17,Karnataka,254,206
18,Kerala,106,225
19,Lakshadweep,3,3
20,Madhya Pradesh,229,334
21,Maharashtra,382,360
22,Manipur,16,17
23,Meghalaya,24,27
24,Mizoram,9,9
25,Nagaland,21,21
26,Odisha,231,377
27,Puducherry,4,3
28,Punjab,116,150
29,Rajasthan,326,571
30,Sikkim,4,2
31,Tamil Nadu,35,385
32,Telangana,-1,114
33,Tripura,10,20
34,Uttar Pradesh,386,773
35,Uttarakhand,44,59
36,West Bengal,95,349
