S. No.,State/UT,Total Number of CHCs functioning - 2005,CHCs functioning in Govt. Building - 2005,CHCs functioning in Rented Building - 2005,CHCs functioning in Rent Free Panchayat / Vol. Society Building - 2005,Total Number of CHCs functioning - 2016,CHCs functioning in Govt. Building - 2016,CHCs functioning in Rented Building - 2016,CHCs functioning in Rent Free Panchayat / Vol. Society Building - 2016,Buildings under construction - 2016
1,Andhra Pradesh,164,164,0,0,193,193,0,0,0
2,Arunachal Pradesh,31,NA,NA,NA,63,63,0,0,0
3,Assam,100,100,0,0,151,151,0,0,75
4,Bihar,101,NA,NA,NA,148,148,0,0,0
5,Chhattisgarh,116,116,0,0,155,143,1,11,10
6,Goa,5,5,0,0,4,4,0,0,0
7,Gujarat,272,225,0,47,322,305,1,16,14
8,Haryana,72,72,0,0,110,106,1,3,0
9,Himachal Pradesh,66,65,0,1,79,79,0,0,0
10,Jammu & Kashmir,70,NA,NA,NA,84,84,0,0,14
11,Jharkhand,47,NA,NA,NA,188,188,0,0,71
12,Karnataka,254,207,0,47,206,204,2,0,49
13,Kerala,106,105,0,1,225,225,0,0,0
14,Madhya Pradesh,229,229,0,0,334,334,0,0,39
15,Maharashtra,382,290,5,87,360,350,0,10,24
16,Manipur,16,NA,NA,NA,17,17,0,0,0
17,Meghalaya,24,24,0,0,27,27,0,0,0
18,Mizoram,9,9,0,0,9,9,0,0,0
19,Nagaland,21,21,0,0,21,21,0,0,0
20,Odisha,231,231,0,0,377,377,0,0,0
21,Punjab,116,115,0,1,150,149,0,1,1
22,Rajasthan,326,256,0,70,571,490,0,81,52
23,Sikkim,4,4,0,0,2,2,0,0,0
24,Tamil Nadu,35,35,0,0,385,385,0,0,0
25,Telangana,NA,NA,NA,NA,114,114,0,0,0
26,Tripura,10,10,0,0,20,20,0,0,0
27,Uttarakhand,44,44,0,0,59,59,0,0,0
28,Uttar Pradesh,386,386,0,0,773,773,0,0,35
29,West Bengal,95,95,0,0,349,349,0,0,6
30,A& N Islands,4,4,0,0,4,4,0,0,0
31,Chandigarh,1,1,0,0,2,2,0,0,0
32,D & N Haveli,1,1,0,0,0,0,0,0,0
33,Daman & Diu,1,1,0,0,2,2,0,0,0
34,Delhi,0,0,0,0,0,0,0,0,0
35,Lakshadweep,3,3,0,0,3,3,0,0,0
36,Puducherry,4,4,0,0,3,3,0,0,0
All India/ Total,All India/ Total,3346,2822,5,254,5510,5383,5,122,390
