1,A& N Islands,20,22
2,Andhra Pradesh,1570,1075
3,Arunachal Pradesh,85,143
4,Assam,610,1014
5,Bihar,1648,1802
6,Chandigarh,0,3
7,Chhattisgarh,517,790
8,D & N Haveli,6,11
9,Daman & Diu,3,4
10,Delhi,8,5
11,Goa,19,22
12,Gujarat,1070,1314
13,Haryana,408,474
14,Himachal Pradesh,439,518
15,Jammu & Kashmir,334,637
16,Jharkhand,561,327
17,Karnataka,1681,2353
18,Kerala,911,824
19,Lakshadweep,4,4
20,Madhya Pradesh,1192,1171
21,Maharashtra,1780,1811
22,Manipur,72,85
23,Meghalaya,101,109
24,Mizoram,57,57
25,Nagaland,87,126
26,Odisha,1282,1305
27,Puducherry,39,24
28,Punjab,484,427
29,Rajasthan,1713,2080
30,Sikkim,24,24
31,Tamil Nadu,1380,1368
32,Telangana,-1,668
33,Tripura,73,94
34,Uttar Pradesh,3660,3497
35,Uttarakhand,225,257
36,West Bengal,1173,909
