Union Territory,Andaman & Nicobar Islands,123,22,4
State,Andhra Pradesh,7659,1075,193
State,Arunachal Pradesh,304,143,63
State,Assam,4621,1014,151
State,Bihar,9729,1802,148
Union Territory,Chandigarh,17,3,2
State,Chhattisgarh,5186,790,155
Union Territory,Dadra & Nagar Haveli,56,11,0
Union Territory,Daman & Diu,26,4,2
Union Territory,Delhi,26,5,0
State,Goa,212,22,4
State,Gujarat,8801,1314,322
State,Haryana,2576,474,110
State,Himachal Pradesh,2071,518,79
State,Jammu & Kashmir,2805,637,84
State,Jharkhand,3953,327,188
State,Karnataka,9332,2353,206
State,Kerala,4575,824,225
Union Territory,Lakshadweep,14,4,3
State,Madhya Pradesh,9192,1171,334
State,Maharashtra,10580,1811,360
State,Manipur,421,85,17
State,Meghalaya,431,109,27
State,Mizoram,370,57,9
State,Nagaland,396,126,21
State,Odisha,6688,1305,377
Union Territory,Puducherry,54,24,3
State,Punjab,2951,427,150
State,Rajasthan,14408,2080,571
State,Sikkim,147,24,2
State,Tamil Nadu,8712,1368,385
State,Telangana,4863,668,114
State,Tripura,1033,94,20
State,Uttar Pradesh,20521,3497,773
State,Uttarakhand,1847,257,59
State,West Bengal,10369,909,349
